	Dataset	Patient	CompClass	Freq
76	GSE132465	SMC07	B cell	241
77	GSE132465	SMC08	B cell	158
78	GSE132465	SMC09	B cell	8
79	GSE132465	SMC10	B cell	17
80	GSE132465	SMC11	B cell	60
81	GSE132465	SMC14	B cell	37
82	GSE132465	SMC15	B cell	266
83	GSE132465	SMC16	B cell	8
84	GSE132465	SMC17	B cell	11
85	GSE132465	SMC18	B cell	29
86	GSE132465	SMC19	B cell	222
87	GSE132465	SMC20	B cell	35
88	GSE132465	SMC21	B cell	48
89	GSE132465	SMC22	B cell	19
90	GSE132465	SMC23	B cell	32
91	GSE132465	SMC24	B cell	122
92	GSE132465	SMC25	B cell	154
93	GSE151530	C29	cDC	4
94	GSE151530	C46b	cDC	1
95	GSE151530	C60	cDC	57
96	GSE151530	C66	cDC	14
97	GSE178318	COL07	cDC	270
98	GSE178318	COL12	cDC	34
99	GSE178318	COL15	cDC	430
100	GSE178318	COL16	cDC	58
101	GSE178318	COL17	cDC	368
102	GSE178318	COL18	cDC	383
103	GSE140228	D20171109	cDC	349
104	GSE140228	D20171215	cDC	6
105	GSE140228	D20180108	cDC	173
106	GSE140228	D20180110	cDC	18
107	GSE140228	D20180116	cDC	49
108	GSE112271	GSE112271_Patient_13	cDC	109
109	GSE112271	GSE112271_Patient_14	cDC	146
110	GSE166635	GSM5076749	cDC	512
111	GSE166635	GSM5076750	cDC	23
112	GSE151530	H08	cDC	29
113	GSE151530	H21	cDC	4
114	GSE151530	H30	cDC	25
115	GSE151530	H38	cDC	36
116	GSE151530	H49a	cDC	3
117	GSE151530	H58a	cDC	41
118	GSE151530	H58b	cDC	94
119	GSE151530	H58c	cDC	17
120	GSE151530	H62	cDC	6
121	GSE151530	H65	cDC	3
122	GSE151530	H68a	cDC	8
123	GSE151530	H68b	cDC	7
124	GSE151530	H70	cDC	34
125	GSE151530	H72	cDC	6
126	GSE151530	H73a	cDC	39
127	GSE151530	H73b	cDC	22
128	GSE151530	H74	cDC	2
129	GSE151530	H75	cDC	31
130	GSE151530	H77	cDC	103
131	scCRLM	P12	cDC	11
132	scCRLM	P13	cDC	8
133	scCRLM	P14	cDC	60
134	scCRLM	P15	cDC	23
135	scCRLM	P16	cDC	126
136	scCRLM	P17	cDC	39
137	scCRLM	P18	cDC	149
138	scCRLM	P19	cDC	129
139	scCRLM	P20	cDC	155
140	scCRLM	P3	cDC	11
141	GSE164522	patient08	cDC	272
142	GSE164522	patient09	cDC	172
143	GSE164522	patient10	cDC	104
144	GSE164522	patient11	cDC	1861
145	GSE164522	patient12	cDC	880
146	GSE164522	patient13	cDC	68
147	GSE164522	patient14	cDC	291
148	GSE164522	patient15	cDC	117
149	GSE164522	patient16	cDC	36
150	GSE164522	patient17	cDC	285
151	GSE125449	S02_P01_LCP21	cDC	4
152	GSE125449	S11_P06_LCP29	cDC	3
153	GSE125449	S12_P07_LCP30	cDC	24
154	GSE125449	S15_P09_LCP38	cDC	35
155	GSE125449	S300_P02_LCP60	cDC	54
156	GSE125449	S364_P21_LCP65	cDC	1
157	GSE125449	S365_P22_LCP66	cDC	7
158	GSE132465	SMC01	cDC	26
159	GSE132465	SMC02	cDC	45
160	GSE132465	SMC03	cDC	9
161	GSE132465	SMC04	cDC	30
162	GSE132465	SMC06	cDC	3
163	GSE132465	SMC07	cDC	49
164	GSE132465	SMC08	cDC	13
165	GSE132465	SMC09	cDC	29
166	GSE132465	SMC10	cDC	18
167	GSE132465	SMC11	cDC	10
168	GSE132465	SMC14	cDC	37
169	GSE132465	SMC15	cDC	13
170	GSE132465	SMC16	cDC	1
171	GSE132465	SMC17	cDC	13
172	GSE132465	SMC18	cDC	12
173	GSE132465	SMC19	cDC	11
174	GSE132465	SMC20	cDC	39
175	GSE132465	SMC21	cDC	4
176	GSE132465	SMC22	cDC	7
177	GSE132465	SMC23	cDC	36
178	GSE132465	SMC24	cDC	16
179	GSE132465	SMC25	cDC	19
180	GSE151530	C29	Endothelial cell	127
181	GSE151530	C46b	Endothelial cell	6
182	GSE151530	C66	Endothelial cell	80
183	GSE178318	COL07	Endothelial cell	17
184	GSE178318	COL12	Endothelial cell	18
185	GSE178318	COL15	Endothelial cell	41
186	GSE178318	COL16	Endothelial cell	1
187	GSE178318	COL17	Endothelial cell	5
188	GSE178318	COL18	Endothelial cell	11
189	GSE140228	D20171109	Endothelial cell	1
190	GSE140228	D20171215	Endothelial cell	29
191	GSE140228	D20180108	Endothelial cell	7
192	GSE140228	D20180116	Endothelial cell	2
193	GSE112271	GSE112271_Patient_13	Endothelial cell	565
194	GSE112271	GSE112271_Patient_14	Endothelial cell	602
195	GSE166635	GSM5076749	Endothelial cell	16
196	GSE166635	GSM5076750	Endothelial cell	10
197	GSE151530	H08	Endothelial cell	51
198	GSE151530	H21	Endothelial cell	163
199	GSE151530	H30	Endothelial cell	10
200	GSE151530	H38	Endothelial cell	316
201	GSE151530	H49a	Endothelial cell	54
202	GSE151530	H58a	Endothelial cell	158
203	GSE151530	H58b	Endothelial cell	220
204	GSE151530	H58c	Endothelial cell	97
205	GSE151530	H62	Endothelial cell	47
206	GSE151530	H65	Endothelial cell	4
207	GSE151530	H68a	Endothelial cell	173
208	GSE151530	H68b	Endothelial cell	165
209	GSE151530	H70	Endothelial cell	7
210	GSE151530	H72	Endothelial cell	11
211	GSE151530	H73a	Endothelial cell	75
212	GSE151530	H73b	Endothelial cell	123
213	GSE151530	H74	Endothelial cell	12
214	GSE151530	H75	Endothelial cell	11
215	GSE151530	H77	Endothelial cell	102
216	GSE164522	patient09	Endothelial cell	78
217	GSE164522	patient10	Endothelial cell	39
218	GSE164522	patient11	Endothelial cell	19
219	GSE164522	patient12	Endothelial cell	1
220	GSE164522	patient13	Endothelial cell	18
221	GSE164522	patient14	Endothelial cell	15
222	GSE164522	patient16	Endothelial cell	9
223	GSE164522	patient17	Endothelial cell	13
224	GSE125449	S02_P01_LCP21	Endothelial cell	161
225	GSE125449	S11_P06_LCP29	Endothelial cell	122
226	GSE125449	S12_P07_LCP30	Endothelial cell	11
227	GSE125449	S15_P09_LCP38	Endothelial cell	323
228	GSE125449	S300_P02_LCP60	Endothelial cell	2
229	GSE125449	S358_P16_LCP46	Endothelial cell	6
230	GSE125449	S364_P21_LCP65	Endothelial cell	4
231	GSE125449	S365_P22_LCP66	Endothelial cell	73
232	GSE132465	SMC01	Endothelial cell	31
233	GSE132465	SMC02	Endothelial cell	32
234	GSE132465	SMC03	Endothelial cell	25
235	GSE132465	SMC04	Endothelial cell	62
236	GSE132465	SMC06	Endothelial cell	2
237	GSE132465	SMC07	Endothelial cell	69
238	GSE132465	SMC08	Endothelial cell	19
239	GSE132465	SMC09	Endothelial cell	13
240	GSE132465	SMC10	Endothelial cell	37
241	GSE132465	SMC11	Endothelial cell	19
242	GSE132465	SMC14	Endothelial cell	80
243	GSE132465	SMC15	Endothelial cell	79
244	GSE132465	SMC16	Endothelial cell	5
245	GSE132465	SMC17	Endothelial cell	55
246	GSE132465	SMC18	Endothelial cell	3
247	GSE132465	SMC20	Endothelial cell	20
248	GSE132465	SMC22	Endothelial cell	8
249	GSE132465	SMC23	Endothelial cell	8
250	GSE132465	SMC24	Endothelial cell	4
251	GSE132465	SMC25	Endothelial cell	17
252	GSE151530	C29	Epithelial cell	21
253	GSE151530	C46b	Epithelial cell	440
254	GSE151530	C60	Epithelial cell	5
255	GSE151530	C66	Epithelial cell	781
256	GSE178318	COL07	Epithelial cell	3650
257	GSE178318	COL12	Epithelial cell	86
258	GSE178318	COL15	Epithelial cell	494
259	GSE178318	COL16	Epithelial cell	1027
260	GSE178318	COL17	Epithelial cell	17
261	GSE178318	COL18	Epithelial cell	53
262	GSE140228	D20171109	Epithelial cell	11
263	GSE140228	D20171215	Epithelial cell	14
264	GSE140228	D20180108	Epithelial cell	3
265	GSE140228	D20180110	Epithelial cell	15
266	GSE140228	D20180116	Epithelial cell	6
267	GSE112271	GSE112271_Patient_13	Epithelial cell	7232
268	GSE112271	GSE112271_Patient_14	Epithelial cell	1749
269	GSE166635	GSM5076749	Epithelial cell	728
270	GSE166635	GSM5076750	Epithelial cell	61
271	GSE151530	H08	Epithelial cell	58
272	GSE151530	H30	Epithelial cell	10
273	GSE151530	H38	Epithelial cell	20
274	GSE151530	H49a	Epithelial cell	4
275	GSE151530	H58a	Epithelial cell	7
276	GSE151530	H58b	Epithelial cell	9
277	GSE151530	H58c	Epithelial cell	9
278	GSE151530	H62	Epithelial cell	3
279	GSE151530	H65	Epithelial cell	363
280	GSE151530	H68a	Epithelial cell	2726
281	GSE151530	H68b	Epithelial cell	685
282	GSE151530	H70	Epithelial cell	1472
283	GSE151530	H72	Epithelial cell	983
284	GSE151530	H73a	Epithelial cell	109
285	GSE151530	H73b	Epithelial cell	87
286	GSE151530	H74	Epithelial cell	169
287	GSE151530	H75	Epithelial cell	143
288	GSE151530	H77	Epithelial cell	21
289	scCRLM	P1	Epithelial cell	3
290	scCRLM	P10	Epithelial cell	3
291	scCRLM	P11	Epithelial cell	7
292	scCRLM	P12	Epithelial cell	7
293	scCRLM	P13	Epithelial cell	4
294	scCRLM	P14	Epithelial cell	20
295	scCRLM	P15	Epithelial cell	16
296	scCRLM	P16	Epithelial cell	2
297	scCRLM	P17	Epithelial cell	4
298	scCRLM	P18	Epithelial cell	5
299	scCRLM	P19	Epithelial cell	8
300	scCRLM	P2	Epithelial cell	3
301	scCRLM	P20	Epithelial cell	6
302	scCRLM	P3	Epithelial cell	1
303	scCRLM	P4	Epithelial cell	3
304	scCRLM	P5	Epithelial cell	4
305	scCRLM	P6	Epithelial cell	4
306	scCRLM	P7	Epithelial cell	2
307	scCRLM	P8	Epithelial cell	1
308	scCRLM	P9	Epithelial cell	2
309	GSE164522	patient09	Epithelial cell	489
310	GSE164522	patient10	Epithelial cell	343
311	GSE164522	patient11	Epithelial cell	290
312	GSE164522	patient12	Epithelial cell	24
313	GSE164522	patient13	Epithelial cell	3
314	GSE164522	patient14	Epithelial cell	8
315	GSE164522	patient15	Epithelial cell	53
316	GSE164522	patient16	Epithelial cell	9
317	GSE164522	patient17	Epithelial cell	20
318	GSE125449	S11_P06_LCP29	Epithelial cell	24
319	GSE125449	S12_P07_LCP30	Epithelial cell	11
320	GSE125449	S15_P09_LCP38	Epithelial cell	39
321	GSE125449	S300_P02_LCP60	Epithelial cell	16
322	GSE125449	S358_P16_LCP46	Epithelial cell	432
323	GSE125449	S364_P21_LCP65	Epithelial cell	325
324	GSE125449	S365_P22_LCP66	Epithelial cell	620
325	GSE132465	SMC01	Epithelial cell	481
326	GSE132465	SMC02	Epithelial cell	150
327	GSE132465	SMC03	Epithelial cell	427
328	GSE132465	SMC04	Epithelial cell	40
329	GSE132465	SMC05	Epithelial cell	5
330	GSE132465	SMC06	Epithelial cell	69
331	GSE132465	SMC07	Epithelial cell	207
332	GSE132465	SMC08	Epithelial cell	130
333	GSE132465	SMC09	Epithelial cell	745
334	GSE132465	SMC10	Epithelial cell	142
335	GSE132465	SMC11	Epithelial cell	108
336	GSE132465	SMC14	Epithelial cell	31
337	GSE132465	SMC15	Epithelial cell	81
338	GSE132465	SMC16	Epithelial cell	860
339	GSE132465	SMC17	Epithelial cell	332
340	GSE132465	SMC18	Epithelial cell	820
341	GSE132465	SMC19	Epithelial cell	162
342	GSE132465	SMC20	Epithelial cell	271
343	GSE132465	SMC21	Epithelial cell	1071
344	GSE132465	SMC22	Epithelial cell	1129
345	GSE132465	SMC23	Epithelial cell	210
346	GSE132465	SMC24	Epithelial cell	200
347	GSE132465	SMC25	Epithelial cell	34
348	GSE151530	C29	Fibroblast	117
349	GSE151530	C46b	Fibroblast	17
350	GSE151530	C60	Fibroblast	1
351	GSE151530	C66	Fibroblast	180
352	GSE178318	COL07	Fibroblast	163
353	GSE178318	COL12	Fibroblast	348
354	GSE178318	COL15	Fibroblast	238
355	GSE178318	COL16	Fibroblast	41
356	GSE178318	COL17	Fibroblast	7
357	GSE178318	COL18	Fibroblast	189
358	GSE140228	D20171109	Fibroblast	3
359	GSE140228	D20180110	Fibroblast	2
360	GSE140228	D20180116	Fibroblast	23
361	GSE112271	GSE112271_Patient_13	Fibroblast	261
362	GSE112271	GSE112271_Patient_14	Fibroblast	369
363	GSE166635	GSM5076749	Fibroblast	182
364	GSE166635	GSM5076750	Fibroblast	66
365	GSE151530	H08	Fibroblast	11
366	GSE151530	H21	Fibroblast	272
367	GSE151530	H30	Fibroblast	12
368	GSE151530	H38	Fibroblast	175
369	GSE151530	H49a	Fibroblast	5
370	GSE151530	H58a	Fibroblast	136
371	GSE151530	H58b	Fibroblast	20
372	GSE151530	H58c	Fibroblast	17
373	GSE151530	H62	Fibroblast	5
374	GSE151530	H65	Fibroblast	1
375	GSE151530	H68a	Fibroblast	15
376	GSE151530	H68b	Fibroblast	21
377	GSE151530	H72	Fibroblast	4
378	GSE151530	H73a	Fibroblast	10
379	GSE151530	H73b	Fibroblast	32
380	GSE151530	H74	Fibroblast	7
381	GSE151530	H75	Fibroblast	28
382	GSE151530	H77	Fibroblast	103
383	scCRLM	P11	Fibroblast	1
384	scCRLM	P12	Fibroblast	1
385	scCRLM	P17	Fibroblast	3
386	scCRLM	P18	Fibroblast	1
387	scCRLM	P5	Fibroblast	2
388	scCRLM	P8	Fibroblast	1
389	GSE164522	patient09	Fibroblast	102
390	GSE164522	patient10	Fibroblast	320
391	GSE164522	patient11	Fibroblast	17
392	GSE164522	patient12	Fibroblast	2
393	GSE164522	patient14	Fibroblast	21
394	GSE164522	patient15	Fibroblast	4
395	GSE164522	patient16	Fibroblast	6
396	GSE164522	patient17	Fibroblast	4
397	GSE125449	S02_P01_LCP21	Fibroblast	274
398	GSE125449	S11_P06_LCP29	Fibroblast	134
399	GSE125449	S12_P07_LCP30	Fibroblast	10
400	GSE125449	S15_P09_LCP38	Fibroblast	169
401	GSE125449	S300_P02_LCP60	Fibroblast	2
402	GSE125449	S358_P16_LCP46	Fibroblast	17
403	GSE125449	S364_P21_LCP65	Fibroblast	1
404	GSE125449	S365_P22_LCP66	Fibroblast	173
405	GSE132465	SMC01	Fibroblast	85
406	GSE132465	SMC02	Fibroblast	39
407	GSE132465	SMC03	Fibroblast	141
408	GSE132465	SMC04	Fibroblast	41
409	GSE132465	SMC05	Fibroblast	3
410	GSE132465	SMC06	Fibroblast	65
411	GSE132465	SMC07	Fibroblast	91
412	GSE132465	SMC08	Fibroblast	108
413	GSE132465	SMC09	Fibroblast	21
414	GSE132465	SMC10	Fibroblast	109
415	GSE132465	SMC11	Fibroblast	28
416	GSE132465	SMC14	Fibroblast	128
417	GSE132465	SMC15	Fibroblast	170
418	GSE132465	SMC16	Fibroblast	4
419	GSE132465	SMC17	Fibroblast	57
420	GSE132465	SMC18	Fibroblast	1
421	GSE132465	SMC19	Fibroblast	9
422	GSE132465	SMC20	Fibroblast	330
423	GSE132465	SMC21	Fibroblast	2
424	GSE132465	SMC22	Fibroblast	6
425	GSE132465	SMC23	Fibroblast	9
426	GSE132465	SMC24	Fibroblast	3
427	GSE132465	SMC25	Fibroblast	6
428	GSE151530	C29	Macrophage/Monocyte	1
429	GSE151530	C46b	Macrophage/Monocyte	36
430	GSE151530	C60	Macrophage/Monocyte	25
431	GSE151530	C66	Macrophage/Monocyte	12
432	GSE178318	COL07	Macrophage/Monocyte	2259
433	GSE178318	COL12	Macrophage/Monocyte	1090
434	GSE178318	COL15	Macrophage/Monocyte	2716
435	GSE178318	COL16	Macrophage/Monocyte	1794
436	GSE178318	COL17	Macrophage/Monocyte	813
437	GSE178318	COL18	Macrophage/Monocyte	1163
438	GSE140228	D20171109	Macrophage/Monocyte	1462
439	GSE140228	D20171215	Macrophage/Monocyte	11
440	GSE140228	D20180108	Macrophage/Monocyte	547
441	GSE140228	D20180110	Macrophage/Monocyte	56
442	GSE140228	D20180116	Macrophage/Monocyte	285
443	GSE112271	GSE112271_Patient_13	Macrophage/Monocyte	480
444	GSE112271	GSE112271_Patient_14	Macrophage/Monocyte	570
445	GSE166635	GSM5076749	Macrophage/Monocyte	5114
446	GSE166635	GSM5076750	Macrophage/Monocyte	19
447	GSE151530	H08	Macrophage/Monocyte	234
448	GSE151530	H21	Macrophage/Monocyte	7
449	GSE151530	H30	Macrophage/Monocyte	18
450	GSE151530	H38	Macrophage/Monocyte	106
451	GSE151530	H49a	Macrophage/Monocyte	20
452	GSE151530	H58a	Macrophage/Monocyte	61
453	GSE151530	H58b	Macrophage/Monocyte	74
454	GSE151530	H58c	Macrophage/Monocyte	136
455	GSE151530	H62	Macrophage/Monocyte	7
456	GSE151530	H65	Macrophage/Monocyte	36
457	GSE151530	H68a	Macrophage/Monocyte	560
458	GSE151530	H68b	Macrophage/Monocyte	102
459	GSE151530	H70	Macrophage/Monocyte	863
460	GSE151530	H72	Macrophage/Monocyte	216
461	GSE151530	H73a	Macrophage/Monocyte	276
462	GSE151530	H73b	Macrophage/Monocyte	96
463	GSE151530	H74	Macrophage/Monocyte	46
464	GSE151530	H75	Macrophage/Monocyte	30
465	GSE151530	H77	Macrophage/Monocyte	148
466	scCRLM	P1	Macrophage/Monocyte	7
467	scCRLM	P10	Macrophage/Monocyte	8
468	scCRLM	P11	Macrophage/Monocyte	1
469	scCRLM	P12	Macrophage/Monocyte	111
470	scCRLM	P13	Macrophage/Monocyte	870
471	scCRLM	P14	Macrophage/Monocyte	1542
472	scCRLM	P15	Macrophage/Monocyte	109
473	scCRLM	P16	Macrophage/Monocyte	764
474	scCRLM	P17	Macrophage/Monocyte	562
475	scCRLM	P18	Macrophage/Monocyte	1821
476	scCRLM	P19	Macrophage/Monocyte	1514
477	scCRLM	P2	Macrophage/Monocyte	270
478	scCRLM	P20	Macrophage/Monocyte	990
479	scCRLM	P3	Macrophage/Monocyte	315
480	scCRLM	P4	Macrophage/Monocyte	2
481	scCRLM	P5	Macrophage/Monocyte	8
482	scCRLM	P6	Macrophage/Monocyte	8
483	scCRLM	P7	Macrophage/Monocyte	2
484	scCRLM	P8	Macrophage/Monocyte	45
485	scCRLM	P9	Macrophage/Monocyte	6
486	GSE164522	patient08	Macrophage/Monocyte	164
487	GSE164522	patient09	Macrophage/Monocyte	328
488	GSE164522	patient10	Macrophage/Monocyte	329
489	GSE164522	patient11	Macrophage/Monocyte	2300
490	GSE164522	patient12	Macrophage/Monocyte	1076
491	GSE164522	patient13	Macrophage/Monocyte	976
492	GSE164522	patient14	Macrophage/Monocyte	752
493	GSE164522	patient15	Macrophage/Monocyte	810
494	GSE164522	patient16	Macrophage/Monocyte	1910
495	GSE164522	patient17	Macrophage/Monocyte	2207
496	GSE125449	S02_P01_LCP21	Macrophage/Monocyte	7
497	GSE125449	S11_P06_LCP29	Macrophage/Monocyte	1
498	GSE125449	S12_P07_LCP30	Macrophage/Monocyte	15
499	GSE125449	S15_P09_LCP38	Macrophage/Monocyte	106
500	GSE125449	S300_P02_LCP60	Macrophage/Monocyte	25
501	GSE125449	S358_P16_LCP46	Macrophage/Monocyte	35
502	GSE125449	S364_P21_LCP65	Macrophage/Monocyte	79
503	GSE125449	S365_P22_LCP66	Macrophage/Monocyte	14
504	GSE132465	SMC01	Macrophage/Monocyte	93
505	GSE132465	SMC02	Macrophage/Monocyte	393
506	GSE132465	SMC03	Macrophage/Monocyte	240
507	GSE132465	SMC04	Macrophage/Monocyte	677
508	GSE132465	SMC05	Macrophage/Monocyte	9
509	GSE132465	SMC06	Macrophage/Monocyte	144
510	GSE132465	SMC07	Macrophage/Monocyte	158
511	GSE132465	SMC08	Macrophage/Monocyte	230
512	GSE132465	SMC09	Macrophage/Monocyte	294
513	GSE132465	SMC10	Macrophage/Monocyte	502
514	GSE132465	SMC11	Macrophage/Monocyte	52
515	GSE132465	SMC14	Macrophage/Monocyte	474
516	GSE132465	SMC15	Macrophage/Monocyte	92
517	GSE132465	SMC16	Macrophage/Monocyte	32
518	GSE132465	SMC17	Macrophage/Monocyte	281
519	GSE132465	SMC18	Macrophage/Monocyte	56
520	GSE132465	SMC19	Macrophage/Monocyte	8
521	GSE132465	SMC20	Macrophage/Monocyte	254
522	GSE132465	SMC21	Macrophage/Monocyte	26
523	GSE132465	SMC22	Macrophage/Monocyte	49
524	GSE132465	SMC23	Macrophage/Monocyte	139
525	GSE132465	SMC24	Macrophage/Monocyte	287
526	GSE132465	SMC25	Macrophage/Monocyte	40
527	GSE151530	C29	Mast cell	1
528	GSE151530	C60	Mast cell	4
529	GSE151530	C66	Mast cell	1
530	GSE178318	COL07	Mast cell	142
531	GSE178318	COL12	Mast cell	45
532	GSE178318	COL15	Mast cell	123
533	GSE178318	COL16	Mast cell	52
534	GSE178318	COL17	Mast cell	96
535	GSE178318	COL18	Mast cell	323
536	GSE140228	D20171109	Mast cell	73
537	GSE140228	D20171215	Mast cell	21
538	GSE140228	D20180108	Mast cell	26
539	GSE140228	D20180110	Mast cell	10
540	GSE140228	D20180116	Mast cell	7
541	GSE112271	GSE112271_Patient_13	Mast cell	28
542	GSE112271	GSE112271_Patient_14	Mast cell	2
543	GSE166635	GSM5076749	Mast cell	18
544	GSE166635	GSM5076750	Mast cell	119
545	GSE151530	H08	Mast cell	5
546	GSE151530	H21	Mast cell	1
547	GSE151530	H38	Mast cell	2
548	GSE151530	H58a	Mast cell	7
549	GSE151530	H58b	Mast cell	4
550	GSE151530	H58c	Mast cell	3
551	GSE151530	H65	Mast cell	1
552	GSE151530	H68a	Mast cell	2
553	GSE151530	H68b	Mast cell	2
554	GSE151530	H70	Mast cell	6
555	GSE151530	H72	Mast cell	4
556	GSE151530	H73a	Mast cell	11
557	GSE151530	H73b	Mast cell	12
558	GSE151530	H74	Mast cell	3
559	GSE151530	H75	Mast cell	12
560	GSE151530	H77	Mast cell	18
561	scCRLM	P12	Mast cell	1
562	scCRLM	P13	Mast cell	4
563	scCRLM	P14	Mast cell	13
564	scCRLM	P15	Mast cell	14
565	scCRLM	P16	Mast cell	7
566	scCRLM	P17	Mast cell	7
567	scCRLM	P18	Mast cell	1
568	scCRLM	P19	Mast cell	1
569	scCRLM	P2	Mast cell	3
570	scCRLM	P20	Mast cell	1
571	scCRLM	P4	Mast cell	1
572	scCRLM	P7	Mast cell	1
573	scCRLM	P8	Mast cell	6
574	scCRLM	P9	Mast cell	4
575	GSE164522	patient08	Mast cell	29
576	GSE164522	patient09	Mast cell	50
577	GSE164522	patient10	Mast cell	91
578	GSE164522	patient11	Mast cell	426
579	GSE164522	patient12	Mast cell	129
580	GSE164522	patient13	Mast cell	107
581	GSE164522	patient14	Mast cell	167
582	GSE164522	patient15	Mast cell	214
583	GSE164522	patient16	Mast cell	387
584	GSE164522	patient17	Mast cell	142
585	GSE125449	S02_P01_LCP21	Mast cell	1
586	GSE125449	S15_P09_LCP38	Mast cell	2
587	GSE125449	S300_P02_LCP60	Mast cell	3
588	GSE125449	S364_P21_LCP65	Mast cell	3
589	GSE125449	S365_P22_LCP66	Mast cell	6
590	GSE132465	SMC01	Mast cell	2
591	GSE132465	SMC02	Mast cell	1
592	GSE132465	SMC03	Mast cell	1
593	GSE132465	SMC04	Mast cell	2
594	GSE132465	SMC05	Mast cell	2
595	GSE132465	SMC06	Mast cell	2
596	GSE132465	SMC07	Mast cell	5
597	GSE132465	SMC08	Mast cell	3
598	GSE132465	SMC09	Mast cell	1
599	GSE132465	SMC10	Mast cell	1
600	GSE132465	SMC11	Mast cell	8
601	GSE132465	SMC14	Mast cell	4
602	GSE132465	SMC15	Mast cell	1
603	GSE132465	SMC17	Mast cell	4
604	GSE132465	SMC20	Mast cell	8
605	GSE132465	SMC21	Mast cell	1
606	GSE132465	SMC23	Mast cell	3
607	GSE132465	SMC24	Mast cell	1
608	GSE132465	SMC25	Mast cell	7
609	GSE151530	C29	NK cell	17
610	GSE151530	C60	NK cell	34
611	GSE151530	C66	NK cell	5
612	GSE178318	COL07	NK cell	324
613	GSE178318	COL12	NK cell	1046
614	GSE178318	COL15	NK cell	641
615	GSE178318	COL16	NK cell	460
616	GSE178318	COL17	NK cell	485
617	GSE178318	COL18	NK cell	614
618	GSE140228	D20171109	NK cell	147
619	GSE140228	D20171215	NK cell	589
620	GSE140228	D20180108	NK cell	3004
621	GSE140228	D20180110	NK cell	958
622	GSE140228	D20180116	NK cell	148
623	GSE112271	GSE112271_Patient_13	NK cell	117
624	GSE112271	GSE112271_Patient_14	NK cell	3
625	GSE166635	GSM5076749	NK cell	90
626	GSE166635	GSM5076750	NK cell	109
627	GSE151530	H08	NK cell	65
628	GSE151530	H21	NK cell	1
629	GSE151530	H38	NK cell	1
630	GSE151530	H49a	NK cell	22
631	GSE151530	H58a	NK cell	20
632	GSE151530	H58b	NK cell	1
633	GSE151530	H58c	NK cell	155
634	GSE151530	H62	NK cell	15
635	GSE151530	H68a	NK cell	40
636	GSE151530	H68b	NK cell	75
637	GSE151530	H70	NK cell	14
638	GSE151530	H72	NK cell	40
639	GSE151530	H73a	NK cell	550
