p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
MS4A1	1.19778611649696e-271	0.746475189049446	0.587	0.236	3.59335834949087e-268	Others	MS4A1
CTSW	2.66320860709979e-271	1.69680875995782	0.769	0.487	7.98962582129938e-268	Others	CTSW
ALOX5AP	7.40551221000248e-270	1.84015363398058	0.833	0.619	2.22165366300074e-266	Others	ALOX5AP
ICAM2	2.10627375613248e-264	0.818834455311887	0.869	0.639	6.31882126839743e-261	Others	ICAM2
ARHGDIB	5.44108086967532e-263	1.70826871302382	0.945	0.512	1.6323242609026e-259	Others	ARHGDIB
EZR	8.18720618162542e-263	1.66111709277019	0.958	0.861	2.45616185448763e-259	Others	EZR
GPSM3	4.60383765572074e-257	1.57746103419839	0.915	0.726	1.38115129671622e-253	Others	GPSM3
SRGN	7.17319368069089e-257	1.54453163195208	0.917	0.512	2.15195810420727e-253	Others	SRGN
DAPP1	1.36728293797097e-255	0.418271676567257	0.726	0.37	4.10184881391291e-252	Others	DAPP1
CD52	4.64948452291103e-255	1.9812235494775	0.781	0.318	1.39484535687331e-251	Others	CD52
HIST1H1D	2.18971542433037e-254	0.520210732967571	0.763	0.486	6.5691462729911e-251	Others	HIST1H1D
KLRC1	3.47296389016192e-250	0.430802460950087	0.378	0.027	1.04188916704858e-246	Others	KLRC1
NKG7	9.32889107085164e-249	1.77530354029353	0.658	0.161	2.79866732125549e-245	Others	NKG7
LTB	3.1417403238047e-246	1.77562999996047	0.699	0.201	9.42522097141411e-243	Others	LTB
MATK	1.33470579618151e-238	0.860819837806672	0.707	0.334	4.00411738854454e-235	Others	MATK
CD3E	2.27587119194532e-237	2.36626055792011	0.784	0.498	6.82761357583596e-234	Others	CD3E
ISG20	5.12813387815141e-233	1.881402215815	0.91	0.981	1.53844016344542e-229	Others	ISG20
CD33	4.11706879242084e-231	0.269863303708269	0.314	0.136	1.23512063772625e-227	Others	CD33
LSP1	7.14148504647959e-228	1.72054142120514	0.911	0.767	2.14244551394388e-224	Others	LSP1
RPS29	2.69294824272509e-227	0.907607920713364	0.975	0.944	8.07884472817527e-224	Others	RPS29
PSTPIP2	9.94219356594057e-227	0.319103011519776	0.63	0.208	2.98265806978217e-223	Others	PSTPIP2
PHGR1	7.59972203233702e-225	0.260183315812177	0.307	0.902	2.27991660970111e-221	Others	PHGR1
SYNGR2	3.58648203953458e-222	1.05886759089493	0.934	0.825	1.07594461186037e-218	Others	SYNGR2
FGR	8.33952612948554e-219	0.740278220901435	0.677	0.249	2.50185783884566e-215	Others	FGR
GIMAP4	1.36643992150754e-218	1.0863529286123	0.703	0.4	4.09931976452261e-215	Others	GIMAP4
ITGA6	7.26768871681807e-217	0.494229454306844	0.715	0.408	2.18030661504542e-213	Others	ITGA6
HLA-DQA1	2.13390069071164e-215	1.18589896553089	0.817	0.425	6.40170207213492e-212	Others	HLA-DQA1
HCST	1.51503386596058e-211	1.81860552607997	0.783	0.381	4.54510159788174e-208	Others	HCST
EOMES	7.75144386261218e-211	0.527962616015063	0.602	0.208	2.32543315878365e-207	Others	EOMES
BATF	2.67586583641309e-209	0.980659086326913	0.725	0.415	8.02759750923927e-206	Others	BATF
CST7	6.29550156916744e-209	1.96045767065348	0.769	0.558	1.88865047075023e-205	Others	CST7
SNX10	2.73830537355265e-208	0.757966404226067	0.719	0.448	8.21491612065794e-205	Others	SNX10
GBP5	1.62443578901311e-205	0.965973066798623	0.804	0.699	4.87330736703932e-202	Others	GBP5
CXCR6	2.81430407265724e-205	0.85768584597819	0.681	0.435	8.44291221797172e-202	Others	CXCR6
PIM2	4.12788904436879e-205	1.04082621762468	0.86	0.835	1.23836671331064e-201	Others	PIM2
SLC9A3R1	5.54988106845272e-204	1.16286344863825	0.887	0.882	1.66496432053582e-200	Others	SLC9A3R1
TNFSF14	2.09200445002205e-201	0.517776316816464	0.602	0.289	6.27601335006614e-198	Others	TNFSF14
CD3D	9.76471883599616e-201	1.77078018134312	0.645	0.206	2.92941565079885e-197	Others	CD3D
TPD52	4.08633677074732e-199	0.906385019947352	0.769	0.565	1.2259010312242e-195	Others	TPD52
CCL5	8.78992850307389e-198	1.7345573349218	0.656	0.211	2.63697855092217e-194	Others	CCL5
NCF1	2.71015567212413e-197	1.17008383193637	0.772	0.631	8.13046701637238e-194	Others	NCF1
CD8A	1.50971237996038e-196	1.32183218699581	0.7	0.462	4.52913713988113e-193	Others	CD8A
CXCR4	9.59876822108756e-193	2.04131602085318	0.8	0.554	2.87963046632627e-189	Others	CXCR4
MZB1	9.42174716796351e-191	0.628866158699181	0.469	0.086	2.82652415038905e-187	Others	MZB1
IL1B	7.37261046657787e-190	0.350146197234536	0.434	0.906	2.21178313997336e-186	Others	IL1B
SPINT2	1.68757529473613e-188	0.440828366794048	0.701	0.317	5.0627258842084e-185	Others	SPINT2
HLA-DOA	7.20900474264452e-186	0.311046620451443	0.551	0.287	2.16270142279335e-182	Others	HLA-DOA
MTSS1	2.30867465439664e-181	0.411724612041129	0.681	0.326	6.92602396318991e-178	Others	MTSS1
LIMD2	3.28937988142559e-178	1.51764514329065	0.88	0.961	9.86813964427676e-175	Others	LIMD2
FCGR2A	1.79365877299677e-176	0.358251297155593	0.444	0.959	5.38097631899031e-173	Others	FCGR2A
CD8B	1.63573263043388e-174	0.944137308104572	0.575	0.224	4.90719789130163e-171	Others	CD8B
CXCR3	1.41595609558116e-173	0.683025968593282	0.627	0.155	4.24786828674349e-170	Others	CXCR3
CD38	2.21353169588952e-173	0.593469109899398	0.789	0.55	6.64059508766856e-170	Others	CD38
GPR18	1.15574873912193e-172	0.338380534538479	0.662	0.341	3.46724621736579e-169	Others	GPR18
C15orf48	2.99435722917053e-171	0.812112415846003	0.454	0.116	8.98307168751158e-168	Others	C15orf48
COTL1	5.63325421263135e-170	1.3575544684166	0.883	0.775	1.68997626378941e-166	Others	COTL1
SELL	1.48765869149571e-169	0.701775623545652	0.781	0.598	4.46297607448714e-166	Others	SELL
GMFG	4.15398811865657e-168	1.24755224123074	0.875	0.599	1.24619643559697e-164	Others	GMFG
C1orf162	3.33954098634661e-162	0.889272861558488	0.689	0.32	1.00186229590398e-158	Others	C1orf162
SEC11C	5.69995807585697e-162	1.0324985084025	0.817	0.831	1.70998742275709e-158	Others	SEC11C
GIMAP7	1.26459564910351e-161	1.23955958704431	0.709	0.548	3.79378694731052e-158	Others	GIMAP7
TBXAS1	1.31470349461027e-161	0.609924658088806	0.767	0.688	3.94411048383081e-158	Others	TBXAS1
CD2	2.025660431561e-161	1.79247641185192	0.682	0.288	6.076981294683e-158	Others	CD2
HAVCR2	2.15063654745765e-160	0.516745079393615	0.588	0.162	6.45190964237295e-157	Others	HAVCR2
SLC7A5	3.37554469398039e-160	1.00762779740864	0.899	0.984	1.01266340819412e-156	Others	SLC7A5
ARL4C	2.69924680323948e-154	0.881492812800593	0.804	0.5	8.09774040971845e-151	Others	ARL4C
IRF4	1.97047367874531e-152	0.487515147205617	0.778	0.644	5.91142103623593e-149	Others	IRF4
FXYD5	6.76139565967568e-152	1.23338592493654	0.951	0.982	2.0284186979027e-148	Others	FXYD5
BCL2A1	2.11874543454064e-151	1.07268771313391	0.785	0.675	6.35623630362193e-148	Others	BCL2A1
SERPINB9	2.97989967667867e-151	0.612762896760317	0.856	0.69	8.93969903003602e-148	Others	SERPINB9
LAIR1	3.5176680505473e-151	0.536631155034484	0.731	0.533	1.05530041516419e-147	Others	LAIR1
CD27	1.02512275273994e-150	1.01381518299192	0.668	0.449	3.07536825821981e-147	Others	CD27
CD300A	1.08963314710833e-149	0.628794811993536	0.701	0.43	3.26889944132499e-146	Others	CD300A
LTA4H	2.54902576429149e-149	0.482553579858402	0.859	0.665	7.64707729287446e-146	Others	LTA4H
CCR7	2.28885591297799e-146	0.806059216989439	0.757	0.494	6.86656773893396e-143	Others	CCR7
ZBP1	1.07304086930185e-144	0.454105244759774	0.746	0.594	3.21912260790555e-141	Others	ZBP1
STX11	2.4056120564095e-144	0.70794287576193	0.793	0.648	7.2168361692285e-141	Others	STX11
AOAH	4.3750308291158e-144	0.925862274974483	0.798	0.877	1.31250924873474e-140	Others	AOAH
CLDN4	1.02257330776677e-143	0.315605384032448	0.235	0.785	3.06771992330031e-140	Others	CLDN4
GCHFR	3.60075830146555e-143	0.733134933511757	0.641	0.182	1.08022749043966e-139	Others	GCHFR
LAT2	4.5747032807314e-143	0.643375486531271	0.648	0.381	1.37241098421942e-139	Others	LAT2
PLAC8	1.19670576366241e-140	0.844995973114276	0.696	0.362	3.59011729098723e-137	Others	PLAC8
CD72	5.53000099392141e-140	0.425059958060153	0.605	0.324	1.65900029817642e-136	Others	CD72
SLAMF7	2.76751446832237e-137	0.567785308145905	0.712	0.51	8.30254340496712e-134	Others	SLAMF7
ODC1	6.64807983276207e-135	1.03688113303151	0.893	0.825	1.99442394982862e-131	Others	ODC1
DTHD1	5.61046413059427e-132	0.400511335339256	0.562	0.285	1.68313923917828e-128	Others	DTHD1
C5AR1	9.71087653613845e-131	0.599539931889058	0.428	0.182	2.91326296084153e-127	Others	C5AR1
NCR3	1.17015477320807e-130	0.580858497980726	0.626	0.208	3.51046431962422e-127	Others	NCR3
BIRC3	1.81135412686758e-130	1.2058992619242	0.841	0.919	5.43406238060274e-127	Others	BIRC3
C3AR1	1.13700550860888e-129	0.325853509637498	0.557	0.239	3.41101652582664e-126	Others	C3AR1
A1BG	5.07682852757675e-128	0.329449071051914	0.597	0.294	1.52304855827303e-124	Others	A1BG
HMGA1	7.12627072703297e-128	1.01279342761782	0.811	0.918	2.13788121810989e-124	Others	HMGA1
CLEC4A	2.7661294780256e-127	0.362046280531345	0.369	0.082	8.29838843407679e-124	Others	CLEC4A
BANK1	7.32512438574528e-124	0.478173105172394	0.443	0.293	2.19753731572358e-120	Others	BANK1
DHCR7	1.24418433802724e-123	0.280041343073282	0.707	0.58	3.73255301408171e-120	Others	DHCR7
HLA-DRB5	5.98541893167078e-122	0.780538311396288	0.86	0.736	1.79562567950123e-118	Others	HLA-DRB5
CD3G	1.44537454084646e-119	1.45600048876387	0.691	0.532	4.33612362253939e-116	Others	CD3G
MARCH1	4.14713772585914e-119	0.394916822836379	0.366	0.107	1.24414131775774e-115	Others	MARCH1
CAPG	4.66841816727186e-119	1.11361658480447	0.756	0.705	1.40052545018156e-115	Others	CAPG
TTN	5.54171186864297e-119	0.263606460634719	0.734	0.641	1.66251356059289e-115	Others	TTN
SCIMP	1.65662163017948e-117	0.365719973503159	0.36	0.073	4.96986489053844e-114	Others	SCIMP
CD84	5.08006045845831e-115	0.532654604366181	0.678	0.496	1.52401813753749e-111	Others	CD84
GPR183	5.53923703261947e-115	1.29546860774442	0.799	0.816	1.66177110978584e-111	Others	GPR183
APOA1	9.6564786936177e-114	1.02605503876321	0.365	0.218	2.89694360808531e-110	Others	APOA1
TIGIT	3.45031275545029e-111	0.864700924873633	0.579	0.302	1.03509382663509e-107	Others	TIGIT
KLRB1	1.15461048100726e-110	1.54792707805761	0.553	0.277	3.46383144302179e-107	Others	KLRB1
CCRL2	1.17007080732711e-110	0.392252380076659	0.693	0.402	3.51021242198133e-107	Others	CCRL2
GZMA	2.94860512136236e-110	1.74467726909938	0.597	0.183	8.84581536408709e-107	Others	GZMA
MYBL1	5.91640152753854e-110	0.576162435607679	0.684	0.498	1.77492045826156e-106	Others	MYBL1
SERPINA1	6.61529427738946e-110	1.03219238555673	0.46	0.334	1.98458828321684e-106	Others	SERPINA1
HLA-DMA	3.47887100124922e-107	0.791064496123473	0.744	0.447	1.04366130037477e-103	Others	HLA-DMA
TFF3	1.23948106097423e-105	0.602491312962571	0.286	0.107	3.71844318292268e-102	Others	TFF3
XCL1	1.54761499299982e-105	0.832695057477245	0.531	0.268	4.64284497899945e-102	Others	XCL1
VPREB3	1.68120312305923e-105	0.337434330411235	0.312	0.189	5.04360936917769e-102	Others	VPREB3
AQP9	1.79002855132689e-105	0.350674977481838	0.284	0.076	5.37008565398068e-102	Others	AQP9
CSF3R	6.07002779234304e-104	0.36510661229313	0.351	0.204	1.82100833770291e-100	Others	CSF3R
CLEC7A	1.18447488223035e-103	0.537615369604397	0.426	0.148	3.55342464669105e-100	Others	CLEC7A
PDXK	3.47052588303765e-103	0.502003280394934	0.759	0.513	1.0411577649113e-99	Others	PDXK
SEL1L3	4.34731078815771e-103	0.601090017834706	0.749	0.791	1.30419323644731e-99	Others	SEL1L3
ZNF331	6.85489297693704e-103	1.2788128795	0.852	0.759	2.05646789308111e-99	Others	ZNF331
THEMIS2	3.451094211101e-102	0.69055242399763	0.724	0.669	1.0353282633303e-98	Others	THEMIS2
DUSP5	1.19126320123085e-101	0.732404891376675	0.808	0.619	3.57378960369255e-98	Others	DUSP5
CD44	1.83617324342492e-101	1.0812068349225	0.935	0.963	5.50851973027475e-98	Others	CD44
S100A10	1.17303920763646e-100	0.851719220951723	0.898	0.655	3.51911762290938e-97	Others	S100A10
TSPAN8	6.43615292714847e-100	0.322017176575289	0.194	0.725	1.93084587814454e-96	Others	TSPAN8
CD160	1.85195754042966e-98	0.500296089849754	0.545	0.2	5.55587262128898e-95	Others	CD160
ADAM28	2.03673221649506e-97	0.377133059930247	0.568	0.931	6.11019664948518e-94	Others	ADAM28
PRF1	4.51807387115674e-96	1.31024869596241	0.73	0.73	1.35542216134702e-92	Others	PRF1
HPGD	1.866611149955e-95	0.446454972427907	0.673	0.627	5.59983344986501e-92	Others	HPGD
RPL38	2.42561073649496e-93	0.558031492088759	0.955	0.946	7.27683220948488e-90	Others	RPL38
CD93	2.92128350349716e-93	0.270421681533047	0.381	0.341	8.76385051049148e-90	Others	CD93
TNF	6.95122163430163e-93	0.742977258161082	0.749	0.768	2.08536649029049e-89	Others	TNF
ALOX5	7.40454231590328e-92	0.458284188619931	0.498	0.237	2.22136269477098e-88	Others	ALOX5
FOXP3	3.0463984374264e-91	0.302206913073673	0.385	0.117	9.1391953122792e-88	Others	FOXP3
KRT19	8.30770824509058e-90	0.319563778597415	0.261	0.123	2.49231247352717e-86	Others	KRT19
SH3BGRL3	2.71738896327163e-89	0.610177386018475	0.962	0.846	8.1521668898149e-86	Others	SH3BGRL3
CPVL	2.96242807310791e-89	0.380999069526393	0.416	0.799	8.88728421932372e-86	Others	CPVL
CD40LG	4.40855521580648e-89	0.483812662870808	0.535	0.23	1.32256656474194e-85	Others	CD40LG
DCXR	7.64614345352982e-89	0.743508814105665	0.854	0.862	2.29384303605895e-85	Others	DCXR
CTLA4	3.58671855662602e-87	0.627619798842981	0.586	0.411	1.07601556698781e-83	Others	CTLA4
HINT1	4.66073308576619e-86	0.703778363564421	0.936	0.876	1.39821992572986e-82	Others	HINT1
C12orf75	9.12373256891516e-86	0.547504730096848	0.609	0.379	2.73711977067455e-82	Others	C12orf75
IL2RB	7.37865826004144e-85	0.91945295170813	0.73	0.793	2.21359747801243e-81	Others	IL2RB
ICOS	8.3067618876184e-85	0.815040004836853	0.636	0.516	2.49202856628552e-81	Others	ICOS
LAIR2	1.51894484405343e-84	0.341054106304618	0.45	0.128	4.55683453216028e-81	Others	LAIR2
MS4A7	4.86752942317182e-84	0.345161414332694	0.314	0.192	1.46025882695155e-80	Others	MS4A7
ARPC1B	1.13293208048147e-81	0.761238851940757	0.933	0.701	3.39879624144442e-78	Others	ARPC1B
TNFRSF9	5.03003626400332e-81	0.376519243541579	0.509	0.386	1.509010879201e-77	Others	TNFRSF9
PLEK	4.27318143261751e-80	0.940742995388377	0.766	0.885	1.28195442978525e-76	Others	PLEK
UPP1	3.35676716363803e-79	0.756222011936854	0.795	0.665	1.00703014909141e-75	Others	UPP1
LYZ	3.89719766244031e-78	0.890923905792511	0.424	0.219	1.16915929873209e-74	Others	LYZ
PDCD1	4.23576784466059e-78	0.501804888572937	0.596	0.431	1.27073035339818e-74	Others	PDCD1
RGS1	1.99913172886838e-77	1.70528312888692	0.717	0.758	5.99739518660513e-74	Others	RGS1
METRNL	2.25968519179297e-75	0.26764405872952	0.55	0.934	6.77905557537891e-72	Others	METRNL
HLA-DQA2	4.34856260338911e-75	0.31670389234708	0.459	0.2	1.30456878101673e-71	Others	HLA-DQA2
LINC00926	1.15721750890402e-74	0.306573429317606	0.343	0.677	3.47165252671205e-71	Others	LINC00926
NLRP3	3.06982609548007e-74	0.507356153219698	0.553	0.22	9.20947828644019e-71	Others	NLRP3
EREG	3.77272733000386e-74	0.329253996503559	0.322	0.711	1.13181819900116e-70	Others	EREG
RNASE6	4.60446095776867e-74	0.484581053322594	0.491	0.216	1.3813382873306e-70	Others	RNASE6
GM2A	3.00172266637191e-73	0.351332303956689	0.684	0.521	9.00516799911573e-70	Others	GM2A
APOA2	3.25023495853208e-73	1.2339992147087	0.302	0.305	9.75070487559623e-70	Others	APOA2
OASL	3.51051789534602e-73	0.484522623182422	0.681	0.607	1.05315536860381e-69	Others	OASL
CRTAM	3.82130601698251e-73	0.735276954448684	0.577	0.421	1.14639180509475e-69	Others	CRTAM
RGCC	1.54586602888471e-72	1.25750406284956	0.771	0.702	4.63759808665411e-69	Others	RGCC
SLC16A3	3.4018830408783e-72	0.653223812493437	0.81	0.676	1.02056491226349e-68	Others	SLC16A3
LAG3	3.61265780084387e-72	0.636394513999497	0.62	0.497	1.08379734025316e-68	Others	LAG3
HIST1H1E	8.40804461653831e-72	0.436414086133488	0.882	0.985	2.52241338496149e-68	Others	HIST1H1E
SERPINB1	1.93440424753854e-71	0.84100107811206	0.895	0.977	5.80321274261561e-68	Others	SERPINB1
RNF213	4.75714675954821e-70	0.841277783864983	0.875	0.9	1.42714402786446e-66	Others	RNF213
S1PR1	3.01747865150741e-69	0.493529844573508	0.713	0.605	9.05243595452223e-66	Others	S1PR1
LILRB3	4.9025628070825e-69	0.288855863036123	0.334	0.092	1.47076884212475e-65	Others	LILRB3
HLA-DPA1	2.77570957686277e-68	0.534422467782032	0.853	0.781	8.32712873058831e-65	Others	HLA-DPA1
FYN	7.05189944814192e-68	1.34468786582387	0.841	0.921	2.11556983444258e-64	Others	FYN
IL2RA	4.2361662575208e-67	0.30019189413384	0.503	0.144	1.27084987725624e-63	Others	IL2RA
ITGAX	1.05633301449199e-65	0.487635241687	0.508	0.444	3.16899904347596e-62	Others	ITGAX
CCR6	2.57245707254691e-65	0.610112537587377	0.719	0.701	7.71737121764072e-62	Others	CCR6
RPS7	7.03787329854432e-65	0.411231837105248	0.988	0.936	2.1113619895633e-61	Others	RPS7
CA2	1.23421829909906e-64	0.330531700772176	0.512	0.923	3.70265489729719e-61	Others	CA2
CD19	5.42413861944741e-64	0.294368263389933	0.354	0.693	1.62724158583422e-60	Others	CD19
IL7R	9.49609962903153e-64	1.82428105634632	0.798	0.885	2.84882988870946e-60	Others	IL7R
GCA	2.68580448504823e-63	0.421944160824102	0.702	0.528	8.0574134551447e-60	Others	GCA
POU2F2	6.48451549355119e-63	0.536740090906418	0.723	0.765	1.94535464806536e-59	Others	POU2F2
CREM	9.47011731706874e-63	1.31558853302488	0.87	0.981	2.84103519512062e-59	Others	CREM
DDIT4	1.1631035815096e-62	1.18561412199552	0.912	0.982	3.4893107445288e-59	Others	DDIT4
APOC3	4.13633601959411e-62	0.614634328679659	0.251	0.268	1.24090080587823e-58	Others	APOC3
CD79B	1.29422675683122e-61	0.429893698975677	0.607	0.466	3.88268027049367e-58	Others	CD79B
GZMB	4.51733330653327e-61	1.07979961028052	0.569	0.328	1.35519999195998e-57	Others	GZMB
CLIC3	7.90303411689807e-60	0.767032463830966	0.647	0.66	2.37091023506942e-56	Others	CLIC3
IFI30	9.53202676418901e-60	0.658096200770767	0.628	0.957	2.8596080292567e-56	Others	IFI30
B3GNT5	1.21747231746108e-59	0.328470929882158	0.592	0.551	3.65241695238324e-56	Others	B3GNT5
AREG	8.65266103084242e-59	1.60946526213204	0.795	0.979	2.59579830925272e-55	Others	AREG
SORD	2.61027502640225e-58	0.35803705365932	0.495	0.398	7.83082507920675e-55	Others	SORD
CCL4	5.91364520666256e-58	1.88045783207909	0.611	0.437	1.77409356199877e-54	Others	CCL4
SGK1	2.00263336217826e-57	0.397868496876094	0.703	0.977	6.00790008653477e-54	Others	SGK1
LST1	8.16000246477318e-57	0.710424715713958	0.468	0.236	2.44800073943195e-53	Others	LST1
DERL3	4.50425367935982e-56	0.564759825580486	0.389	0.773	1.35127610380795e-52	Others	DERL3
PILRA	1.70578211217249e-55	0.439909577330393	0.351	0.29	5.11734633651748e-52	Others	PILRA
EPCAM	2.93524278636779e-55	0.360398768575567	0.305	0.695	8.80572835910337e-52	Others	EPCAM
HCK	3.36853610485141e-55	0.475446641778366	0.358	0.283	1.01056083145542e-51	Others	HCK
CYBB	3.61943909846571e-55	0.647196846290515	0.453	0.916	1.08583172953971e-51	Others	CYBB
S100A4	8.56829112345487e-53	0.928296248208154	0.803	0.888	2.57048733703646e-49	Others	S100A4
ATP6V0C	2.74663021491761e-52	0.429192698211097	0.97	0.999	8.23989064475283e-49	Others	ATP6V0C
TSPAN13	5.17382059847692e-52	0.407923981299619	0.451	0.398	1.55214617954308e-48	Others	TSPAN13
RNASET2	9.85038396574853e-52	0.929273798563358	0.856	0.923	2.95511518972456e-48	Others	RNASET2
TREM1	1.30015432533047e-51	0.437904082237337	0.369	0.787	3.90046297599142e-48	Others	TREM1
NCF4	1.50859374205883e-51	0.585455564870575	0.73	0.788	4.52578122617648e-48	Others	NCF4
LILRB2	2.09751702560337e-51	0.322920046358428	0.306	0.195	6.2925510768101e-48	Others	LILRB2
HLA-DQB1	1.36465971554045e-50	0.896305119520469	0.699	0.689	4.09397914662136e-47	Others	HLA-DQB1
ALB	1.72218595534457e-50	0.371539761784614	0.373	0.367	5.16655786603371e-47	Others	ALB
MX1	4.55210128420624e-50	0.370737539510493	0.821	0.743	1.36563038526187e-46	Others	MX1
CD163	1.21792060231099e-49	0.380445516844882	0.281	0.216	3.65376180693296e-46	Others	CD163
HP	1.43112194746332e-49	0.605656018529843	0.217	0.307	4.29336584238996e-46	Others	HP
TSPYL2	2.53507925317392e-49	0.282869519524907	0.87	0.987	7.60523775952177e-46	Others	TSPYL2
PLAUR	3.43136717411441e-49	0.497207049391186	0.623	0.959	1.02941015223432e-45	Others	PLAUR
PIM3	4.22491140830668e-49	0.621534947651033	0.882	0.928	1.267473422492e-45	Others	PIM3
SIGLEC10	6.89754265637507e-49	0.264424812174387	0.387	0.268	2.06926279691252e-45	Others	SIGLEC10
COX6C	1.04482302019786e-48	0.571168997191599	0.867	0.803	3.13446906059359e-45	Others	COX6C
AQP3	3.37374722939289e-48	0.757873209339763	0.797	0.959	1.01212416881787e-44	Others	AQP3
LDLRAD4	6.48561991786077e-48	0.322350824502185	0.751	0.953	1.94568597535823e-44	Others	LDLRAD4
TMIGD2	2.41550821777696e-47	0.41444490742704	0.516	0.344	7.24652465333089e-44	Others	TMIGD2
FGD2	4.12810082533557e-47	0.346482559127591	0.486	0.332	1.23843024760067e-43	Others	FGD2
MPEG1	5.85885699440211e-47	0.306669361433332	0.362	0.162	1.75765709832063e-43	Others	MPEG1
ETFB	1.17418880023466e-46	0.489446676577465	0.725	0.567	3.52256640070399e-43	Others	ETFB
IL1R2	4.87951805162915e-46	0.31442213375213	0.476	0.456	1.46385541548874e-42	Others	IL1R2
LRG1	7.02670554646259e-46	0.303574357866019	0.311	0.343	2.10801166393878e-42	Others	LRG1
RAB20	9.69342837943038e-46	0.342062369914862	0.531	0.92	2.90802851382911e-42	Others	RAB20
POLR2K	1.74613770937457e-45	0.403348048474809	0.784	0.618	5.23841312812372e-42	Others	POLR2K
PTTG1	2.16570261811424e-45	0.605417696605149	0.681	0.716	6.49710785434273e-42	Others	PTTG1
ENO1	3.74997664778942e-45	0.675752088538984	0.897	0.92	1.12499299433683e-41	Others	ENO1
CKAP2	3.78655775736843e-45	0.261456061698195	0.647	0.954	1.13596732721053e-41	Others	CKAP2
RPA3	1.19274697959644e-44	0.484967134697785	0.722	0.763	3.57824093878931e-41	Others	RPA3
PCK1	1.20545247911627e-44	0.473615096736522	0.2	0.681	3.61635743734882e-41	Others	PCK1
IL1RN	3.26545380374412e-44	0.40525939610532	0.357	0.156	9.79636141123238e-41	Others	IL1RN
CD86	6.70256050147148e-44	0.423987514734765	0.431	0.365	2.01076815044144e-40	Others	CD86
GPX2	1.62764027281212e-43	0.560257104029619	0.247	0.254	4.88292081843637e-40	Others	GPX2
ITM2A	2.18535743225616e-43	1.26023987737497	0.77	0.868	6.55607229676848e-40	Others	ITM2A
PHACTR1	2.23754637245056e-43	0.678173763995129	0.5	0.543	6.71263911735167e-40	Others	PHACTR1
CTSS	8.04995969141468e-43	0.774839446158518	0.8	0.824	2.4149879074244e-39	Others	CTSS
CLDN3	5.89858476643124e-42	0.361662235377413	0.254	0.54	1.76957542992937e-38	Others	CLDN3
SNHG8	1.26705770184087e-41	0.557708877233812	0.835	0.804	3.80117310552262e-38	Others	SNHG8
DUSP4	1.89446608870426e-41	1.13152502559821	0.752	0.83	5.68339826611279e-38	Others	DUSP4
CLEC10A	8.07778650690238e-41	0.293538598807414	0.259	0.228	2.42333595207072e-37	Others	CLEC10A
GMDS	1.07288578734225e-40	0.329598287956518	0.812	0.831	3.21865736202676e-37	Others	GMDS
RNF144B	5.9699354369686e-40	0.475184587614269	0.494	0.33	1.79098063109058e-36	Others	RNF144B
IDI1	7.74771956866432e-40	0.810060960102775	0.783	0.872	2.3243158705993e-36	Others	IDI1
BLK	7.76456356664422e-40	0.311758466473022	0.405	0.214	2.32936906999327e-36	Others	BLK
SPI1	1.34106446411543e-39	0.94376514210864	0.518	0.478	4.0231933923463e-36	Others	SPI1
MXD1	8.22844232088569e-39	0.557790453690556	0.793	0.88	2.46853269626571e-35	Others	MXD1
